A	Agilent Technologies, Inc. Comm
HLF	Herbalife Ltd. Common Stock
HNT	Health Net Inc. Common Stock
HOG	Harley-Davidson, Inc. Common St
HPI	John Hancock Preferred Income F
HPS	John Hancock Preferred Income F
HPY	Heartland Payment Systems, Inc.
HR	Healthcare Realty Trust Incorpo
HRZ	N/A
HT	Hersha Hospitality Trust Class 
HTH	Hilltop Holdings Inc.
HTR	Brookfield Total Return Fund In
HTS	Hatteras Financial Corp Hattera
HTZ	Hertz Global Holdings, Inc Comm
HUN	Huntsman Corporation Common Sto
HW	Headwaters Incorporated Common 
HYB	New America High Income Fund, I
HYH	Halyard Health, Inc. Common Sto
HYI	Western Asset High Yield Define
HZO	MarineMax, Inc.  (FL) Common St
IAE	Voya Asia Pacific High Dividend
IAG	Iamgold Corporation Ordinary Sh
IBI	N/A
ICA	Empresas Ica Soc Contrladora Co
ICB	MS Income Securities, Inc. Comm
IDT	IDT Corporation Class B Common 
IEP	Icahn Enterprises L.P.
IEX	IDEX Corporation Common Stock
IFF	Internationa Flavors & Fragranc
IGR	CBRE Clarion Global Real Estate
IHC	Independence Holding Company Co
IIM	Invesco Value Municipal Income 
IL	IntraLinks Holdings, Inc. Commo
IMAX	Imax Corporation Common Stock
IMC	N/A
IMN	Imation Corporation Common Stoc
IMS	IMS Health Holdings, Inc. Commo
INXN	InterXion Holding N.V. Ordinary
IPG	Interpublic Group of Companies,
IQI	Invesco Quality Municipal Incom
IRF	N/A
ISF	ING Group, N.V. Perp Hybrid Cap
ISP	ING Groep NV 6.20% Perpetual De
ITT	ITT Corporation Common Stock Ne
ITW	Illinois Tool Works Inc. Common
IVR	INVESCO MORTGAGE CAPITAL INC Co
IVZ	Invesco Ltd Common Stock
IX	Orix Corp Ads Common Stock
JAH	Jarden Corporation Common Stock
JBK	Lehman ABS 3.50 3.50% Adjustabl
JBR	Select Asset Inc. Corporate Bac
JCI	Johnson Controls, Inc. Common S
JEC	Jacobs Engineering Group Inc. C
JFC	JPMorgan China Region  Fund, In
JFR	Nuveen Floating Rate Income Fun
JNS	Janus Capital Group, Inc. Cmn S
JOE	St. Joe Company (The) Common St
JQC	Nuveen Credit Strategies Income
JSD	Nuveen Short Duration Credit Op
JSM	SLM Corporation
KCC	Structured Products Corp. 8.20%
KEG	Key Energy Services, Inc. Commo
KEX	Kirby Corporation Common Stock
KF	Korea Fund, Inc. (The) New Comm
KMB	Kimberly-Clark Corporation Comm
KMX	CarMax Inc
KND	Kindred Healthcare, Inc. Common
KO	Coca-Cola Company (The) Common 
KOF	Coca Cola Femsa S.A.B. de C.V. 
KOG	N/A
KR	Kroger Company (The) Common Sto
KRC	Kilroy Realty Corporation Commo
KRG	Kite Realty Group Trust Common 
KRO	Kronos Worldwide Inc Common Sto
KSM	Deutsche Strategic Municiple In
KT	KT Corporation Common Stock
KWR	Quaker Chemical Corporation Com
L	Loews Corporation Common Stock
LAD	Lithia Motors, Inc. Common Stoc
LAZ	Lazard LTD. Lazard, LTD. Class 
LCC	N/A
LFC	China Life Insurance Company Li
LG	Laclede Gas Company Common Stoc
LGF	Lions Gate Entertainment Corpor
LL	Lumber Liquidators Holdings, In
LLY	Eli Lilly and Company Common St
LM	Legg Mason, Inc. Common Stock
LMT	Lockheed Martin Corporation Com
LNC	Lincoln National Corporation Co
LOR	Lazard World Dividend & Income 
LOW	Lowe's Companies, Inc. Common S
LPS	N/A
LRN	K12 Inc Common Stock
LTC	LTC Properties, Inc. Common Sto
LUV	Southwest Airlines Company Comm
LXK	Lexmark International, Inc. Com
LXP	Lexington Realty Trust Common S
LXU	LSB Industries, Inc. Common Sto
LYG	Lloyds Banking Group Plc Americ
LYV	Live Nation Entertainment, Inc.
MAA	Mid-America Apartment Communiti
MAC	Macerich Company (The) Common S
MAV	Pioneer Municipal High Income A
MBT	Mobile TeleSystems PJSC
MCD	McDonald's Corporation Common S
MCO	Moody's Corporation Common Stoc
MCR	MFS Charter Income Trust Common
MD	Mednax, Inc. Common Stock
MDS	N/A
MDU	MDU Resources Group, Inc. Commo
MED	MEDIFAST INC Common Stock
MEN	Blackrock MuniEnhanced Fund, In
MFA	MFA Financial, Inc.
MFC	Manulife Financial Corporation 
MFV	MFS Special Value Trust Common 
MGM	MGM Resorts International Commo
MHI	Pioneer Municipal High Income T
MHN	Blackrock MuniHoldings New York
MHO	M/I Homes, Inc. Common Stock
MHY	Western Asset Managed High Inco
MIM	N/A
MJH	N/A
MJN	Mead Johnson Nutrition Company 
MKC	McCormick & Company, Incorporat
MLG	N/A
MLI	Mueller Industries, Inc. Common
MLP	Maui Land & Pineapple Company, 
MMC	Marsh & McLennan Companies, Inc
MMI	Marcus & Millichap, Inc. Common
MMR	N/A
MNE	Blackrock Muni New York Interme
MNI	McClatchy Company (The) Common 
MNP	Western Asset Municipal Partner
MNR	Monmouth Real Estate Investment
MOS	Mosaic Company (The) Common Sto
MPA	Blackrock MuniYield Pennsylvani
MPG	Metaldyne Performance Group Inc
MPW	Medical Properties Trust, Inc. 
MR	Mindray Medical International L
MRK	Merck & Company, Inc. Common St
MRO	Marathon Oil Corporation Common
MSCI	MSCI Inc Common Stock
MSF	Morgan Stanley Emerging Markets
MSI	Motorola Solutions, Inc. Common
MSM	MSC Industrial Direct Company, 
MTB	M&T Bank Corporation Common Sto
MTD	Mettler-Toledo International, I
MTOR	Meritor, Inc. Common Stock
MTRN	Materion Corporation
MTU	Mitsubishi UFJ Financial Group,
MUA	Blackrock MuniAssets Fund, Inc 
MUE	Blackrock MuniHoldings Quality 
MVO	MV Oil Trust Units of Beneficia
MWG	Morgan Stanley Cap Tr IV Gtd Ca
MXL	MaxLinear, Inc Class A Common S
MY	China Ming Yang Wind Power Grou
MYI	Blackrock MuniYield Quality Fun
MYN	Blackrock MuniYield New York Qu
N	Netsuite Inc Common Stock
NAD	Nuveen Dividend Advantage Munic
NAI	N/A
NAN	Nuveen New York Dividend Advant
NAT	Nordic American Tankers Limited
NAV	Navistar International Corporat
NAZ	Nuveen Arizona Premium Income M
NBB	Nuveen Build America Bond Fund 
NBD	Nuveen Build America Bond Oppor
NBL	Noble Energy Inc. Common Stock
NC	NACCO Industries, Inc. Common S
NCI	Navigant Consulting, Inc. Commo
NCZ	AllianzGI Convertible & Income 
NDN	N/A
NED	N/A
NEE	NextEra Energy, Inc. Common Sto
NFJ	AllianzGI NFJ Dividend, Interes
NGG	National Grid Transco, PLC Nati
NGS	Natural Gas Services Group, Inc
NGT	N/A
NI	NiSource Inc Common Stock
NJ	Nidec Corporation (Nihon Densan
NKA	Niska Gas Storage Partners LLC 
NKE	Nike, Inc. Common Stock
NL	NL Industries, Inc. Common Stoc
NLS	Nautilus, Inc. Common Stock
NMM	Navios Maritime Partners LP Com
NMO	Nuveen Municipal Market Opportu
NMY	Nuveen Maryland Premium Income 
NNN	National Retail Properties Comm
NOAH	Noah Holdings Limited
NOC	Northrop Grumman Corporation Co
NOV	National Oilwell Varco, Inc. Co
NPK	National Presto Industries, Inc
NPT	Nuveen Premium Income Municipal
NPTN	NeoPhotonics Corporation Common
NPV	Nuveen Virginia Premium Income 
NQI	Nuveen Quality Municipal Fund, 
NQS	Nuveen Select Quality Municipal
NRF	NorthStar Realty Finance Corp. 
NS	Nustar Energy L.P.  Common Unit
NSL	Nuveen Senior Income Fund Commo
NSM	Nationstar Mortgage Holdings In
NSR	Neustar, Inc. Neustar, Inc. Cla
NTG	Tortoise MLP Fund, Inc. Common 
NTX	Nuveen Texas Quality Income Mun
NTZ	Natuzzi, S.p.A.
NUC	N/A
NUS	Nu Skin Enterprises, Inc. Commo
NUW	Nuveen AMT-Free Municipal Value
NWY	New York & Company, Inc. New Yo
NX	Quanex Building Products Corpor
NXN	Nuveen New York Select Tax-Free
NXP	Nuveen Select Tax Free Income P
NYT	New York Times Company (The) Co
OB	OneBeacon Insurance Group, Ltd.
OC	Owens Corning Inc Common Stock 
OFC	Corporate Office Properties Tru
OGE	OGE Energy Corporation Common S
OMC	Omnicom Group Inc. Common Stock
OMI	Owens & Minor, Inc. Common Stoc
PAC	Grupo Aeroportuario Del Pacific
PAG	Penske Automotive Group, Inc. C
PAM	Pampa Energia S.A. Pampa Energi
PAY	Verifone Systems, Inc. Common S
PBY	Pep Boys-Manny, Moe & Jack (The
PCF	Putnam High Income Securities F
PCN	Pimco Corporate & Income Strate
PCQ	PIMCO California Municipal Inco
PEB	Pebblebrook Hotel Trust Common 
PEG	Public Service Enterprise Group
PEO	Adams Natural Resources Fund, I
PER	SandRidge Permian Trust Common 
PFL	PIMCO Income Strategy Fund Shar
PFO	Flaherty & Crumrine Preferred I
PGR	Progressive Corporation (The) C
PH	Parker-Hannifin Corporation Com
PHA	N/A
PHG	Koninklijke Philips N.V. NY Reg
PHH	PHH Corp Common Stock
PHK	Pimco High Income Fund Pimco Hi
PHX	Panhandle Oil and Gas Inc Commo
PIM	Putnam Master Intermediate Inco
PJC	Piper Jaffray Companies Common 
PJR	N/A
PJS	PreferredPlus Trust Ser FAR 1 T
PJT	PJT Partners Inc. Class A Commo
PLD	ProLogis, Inc. Common Stock
PM	Philip Morris International Inc
PMC	Pharmerica Corporation Common S
PMI	N/A
PMT	PennyMac Mortgage Investment Tr
PMX	PIMCO Municipal Income Fund III
PNC	PNC Financial Services Group, I
PNI	Pimco New York Municipal Income
PNK	Pinnacle Entertainment, Inc.
PNX	Phoenix Companies, Inc. (The) C
PNY	Piedmont Natural Gas Company, I
POM	PEPCO Holdings, Inc Common Stoc
POT	Potash Corporation of Saskatche
PPG	PPG Industries, Inc. Common Sto
PPR	Voya Prime Rate Trust Shares of
PPS	Post Properties, Inc. Common St
PRA	ProAssurance Corporation Common
PRGN	Paragon Shipping Inc.
PRI	Primerica, Inc. Common Stock
PSA	Public Storage Common Stock
PSW	N/A
PT	N/A
PVA	N/A
PVD	N/A
PWE	Penn West Petroleum Ltd
PZE	Petrobras Argentina S.A. ADS
PZN	Pzena Investment Management Inc
QEP	QEP Resources, Inc. Common Stoc
RAD	Rite Aid Corporation Common Sto
RAX	Rackspace Hosting, Inc Common S
RBC	Regal Beloit Corporation Common
RBS	Royal Bank of Scotland Group Pl
RCL	Royal Caribbean Cruises Ltd. Co
RDN	Radian Group Inc. Common Stock
RDY	Dr. Reddy's Laboratories Ltd Co
RE	Everest Re Group, Ltd. Common S
REN	Resolute Energy Corporation Com
RES	RPC, Inc. Common Stock
REV	Revlon, Inc. New Common Stock
REX	REX American Resources Corporat
RF	Regions Financial Corporation C
RFI	Cohen & Steers Total Return Rea
RGA	Reinsurance Group of America, I
RGC	Regal Entertainment Group Class
RGS	Regis Corporation Common Stock
RHI	Robert Half International Inc. 
RIG	Transocean Ltd (Switzerland) Co
RLD	RealD Inc Common Stock
RLJ	RLJ Lodging Trust Common Shares
RNR	RenaissanceRe Holdings Ltd. Com
ROP	Roper Technologies, Inc. Common
RRC	Range Resources Corporation Com
RSO	Resource Capital Corp. Resource
RY	Royal Bank Of Canada Common Sto
RYN	Rayonier Inc. REIT Common Stock
SAN	Banco Santander, S.A. Sponsored
SBH	Sally Beauty Holdings, Inc. (Na
SBW	Western Asset Worldwide Income 
SCD	LMP Capital and Income Fund Inc
SCG	SCANA Corporation Common Stock
SDT	SandRidge Mississippian Trust I
SFI	N/A
SFL	Ship Finance International Limi
SFN	Stifel Financial Corporation 5.
SGU	Star Gas Partners, L.P. Common 
SHG	Shinhan Financial Group Co Ltd 
SHO	Sunstone Hotel Investors, Inc. 
SHP	N/A
SHS	N/A
SHW	Sherwin-Williams Company (The) 
SJI	South Jersey Industries, Inc. C
SJT	San Juan Basin Royalty Trust Co
SJW	SJW Corporation Common Stock
SKS	N/A
SKY	Skyline Corporation Common Stoc
SLB	Schlumberger N.V. Common Stock
SLF	Sun Life Financial Inc. Common 
SM	SM Energy Company Common Stock
SNA	Snap-On Incorporated Common Sto
SNH	Senior Housing Properties Trust
SNN	Smith & Nephew SNATS, Inc. Comm
SNP	China Petroleum & Chemical Corp
SOL	Renesola Ltd. Common Shares of 
SON	Sonoco Products Company Common 
SPB	Spectrum Brands Holdings, Inc. 
SPE	Special Opportunities Fund, Inc
SQM	Sociedad Quimica y Minera S.A. 
SRI	Stoneridge, Inc. Common Stock
SSD	Simpson Manufacturing Company, 
SSP	E.W. Scripps Company (The) Comm
SSS	Sovran Self Storage, Inc. Commo
STAG	Stag Industrial, Inc. Common St
STC	Stewart Information Services Co
STD	N/A
STE	STERIS plc Ordinary Shares
STN	Stantec Inc Common Stock
STO	Statoil ASA
STR	Questar Corporation
STRI	N/A
STT	State Street Corporation
STV	China Digital TV Holding Co., L
STZ	Constellation Brands, Inc. Comm
SUG	N/A
SUI	Sun Communities, Inc. Common St
SUP	Superior Industries Internation
SWI	Solarwinds, Inc. Common Stock
SWZ	Swiss Helvetia Fund, Inc. (The)
SXI	Standex International Corporati
SXT	Sensient Technologies Corporati
SYK	Stryker Corporation Common Stoc
TAM	N/A
TBI	TrueBlue, Inc. Common Stock
TCAP	Triangle Capital Corporation Co
TD	Toronto Dominion Bank (The) Com
TDE	Telephone and Data Systems, Inc
TDW	Tidewater Inc. Common Stock
TDY	Teledyne Technologies Incorpora
TEF	Telefonica SA Common Stock
TEN	Tenneco Inc. Common Stock
TEX	Terex Corporation Common Stock
TG	Tredegar Corporation Common Sto
TGH	Textainer Group Holdings Limite
TGS	Transportadora de Gas del Sur S
TGT	Target Corporation Common Stock
THO	Thor Industries, Inc. Common St
THR	Thermon Group Holdings, Inc. Co
THS	Treehouse Foods, Inc. Common St
TJX	TJX Companies, Inc. (The) Commo
TK	Teekay Corporation Common Stock
TKF	Turkish Investment Fund, Inc. (
TLI	LMP Corporate Loan Fund Inc Com
TLK	PT Telekomunikasi Indonesia, Tb
TMH	Team Health Holdings, Inc. Team
TMK	Torchmark Corporation Common St
TNC	Tennant Company Common Stock
TNP	Tsakos Energy Navigation Ltd Co
TOO	Teekay Offshore Partners L.P. C
TPL	Texas Pacific Land Trust Common
TPZ	Tortoise Power and Energy Infra
TRGP	Targa Resources, Inc. Common St
TRN	Trinity Industries, Inc. Common
TRNO	Terreno Realty Corporation Comm
TRU	TransUnion Common Stock
TSI	TCW Strategic Income Fund, Inc.
TSN	Tyson Foods, Inc. Common Stock
TSO	Tesoro Corporation Common Stock
